Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,COL,Males,25 - 34,4873,4594,3262,4953
2008,COL,Males,35 - 44,2996,2326,2137,3273
2008,BGR,Females,25 - 34,1279,1264,1002,1559
2008,BGR,Females,15 - 24,1256,1367,1075,1670
2008,BGR,Females,0 - 14,827,822,656,1031
2008,BGR,Both,All,10766,10956,9371,13939
2008,DZA,Males,65+,34,49,39,65
2008,DZA,Males,All,3557,4205,2530,3861
2008,ARG,Both,0 - 14,2071,1844,1455,2246
2008,ARG,Both,15 - 24,2485,2027,1667,2566
2008,ARG,Both,25 - 34,4664,3535,3139,4770
2008,ARG,Both,35 - 44,1818,2017,1685,2594
2008,ARG,Both,45 - 54,1061,859,854,1332
2008,DZA,Males,55 - 64,108,109,80,132
2008,ARG,Both,55 - 64,729,576,519,820
2008,ARG,Both,All,13363,12321,11228,16644
2008,ARG,Females,0 - 14,1012,918,682,1070
2008,ARG,Females,15 - 24,1264,1135,864,1349
2008,ARG,Females,25 - 34,2213,1981,1720,2645
2008,ARG,Females,35 - 44,860,1054,825,1288
2008,ARG,Females,45 - 54,602,447,415,658
2008,ARG,Females,55 - 64,452,299,318,507
2008,ARG,Both,65+,531,483,415,658
2008,DZA,Males,45 - 54,196,230,187,302
2008,DZA,Males,35 - 44,625,529,439,696
2008,DZA,Males,25 - 34,1464,1255,750,1175
2008,MAR,Females,35 - 44,4337,3689,3191,4847
2008,DZA,Both,25 - 34,2151,1968,1105,1716
2008,DZA,Both,35 - 44,888,851,682,1069
2008,DZA,Both,45 - 54,313,356,325,519
2008,DZA,Both,55 - 64,185,174,129,209
2008,DZA,Both,65+,61,82,67,111
2008,DZA,Both,All,5524,6274,4366,6591
2008,DZA,Females,0 - 14,330,312,281,450
2008,DZA,Females,15 - 24,465,370,315,503
2008,DZA,Females,25 - 34,687,634,383,608
2008,DZA,Females,35 - 44,263,252,239,383
2008,DZA,Females,45 - 54,117,121,116,190
2008,DZA,Females,55 - 64,77,64,65,107
2008,DZA,Females,65+,27,29,31,53
2008,DZA,Females,All,1968,2193,1590,2451
2008,DZA,Males,0 - 14,428,490,423,671
2008,DZA,Males,15 - 24,700,641,504,796
2008,ARG,Females,65+,362,311,262,420
2008,CUB,Males,0 - 14,469,585,415,657
2008,ARG,Females,All,6764,6601,5643,8476
2008,ARG,Males,15 - 24,1223,1007,912,1422
2008,BRA,Females,All,12214,12866,7542,11266
2008,BRA,Males,0 - 14,1647,1795,1592,2452
2008,BRA,Males,15 - 24,2307,2604,1883,2892
2008,BRA,Males,25 - 34,2880,2852,1946,2986
2008,BRA,Males,35 - 44,988,1114,791,1237
2008,BRA,Males,45 - 54,340,399,237,380
2008,BRA,Males,55 - 64,85,109,52,87
2008,BRA,Females,65+,84,92,50,83
2008,BRA,Males,65+,27,29,16,28
2008,BGR,Both,0 - 14,1752,1580,1345,2080
2008,BGR,Both,15 - 24,2414,2712,2179,3336
2008,BGR,Both,25 - 34,2695,2620,2167,3318
2008,BGR,Both,35 - 44,1882,1961,1631,2511
2008,BGR,Both,45 - 54,1336,1243,973,1514
2008,BGR,Both,55 - 64,529,580,492,777
2008,BGR,Both,65+,159,226,175,283
2008,BRA,Males,All,8275,10369,6272,9401
2008,BRA,Females,55 - 64,235,252,162,262
2008,BRA,Females,45 - 54,727,644,526,830
2008,BRA,Females,35 - 44,1762,1709,1168,1812
2008,ARG,Males,25 - 34,2451,1772,1548,2387
2008,ARG,Males,35 - 44,958,1072,798,1248
2008,ARG,Males,45 - 54,460,456,391,620
2008,ARG,Males,55 - 64,276,230,210,337
2008,ARG,Males,65+,169,181,156,253
2008,ARG,Males,All,6599,5632,5477,8231
2008,BRA,Both,0 - 14,3224,3247,3041,4625
2008,BRA,Both,15 - 24,5551,5800,4571,6894
2008,BRA,Both,25 - 34,7464,6547,5859,8794
2008,BRA,Both,35 - 44,2750,3092,2058,3155
2008,BRA,Both,45 - 54,1067,1071,873,1363
2008,BRA,Both,55 - 64,320,359,216,348
2008,BRA,Both,65+,111,114,66,110
2008,BRA,Both,All,20489,21929,14358,21186
2008,BRA,Females,0 - 14,1578,1688,1560,2405
2008,BRA,Females,15 - 24,3243,3157,2464,3763
2008,BRA,Females,25 - 34,4583,3697,3271,4966
2008,ARG,Males,0 - 14,1062,941,772,1208
2008,CUB,Males,15 - 24,632,782,625,983
2008,DZA,Both,15 - 24,1166,1003,789,1233
2008,HND,Males,15 - 24,386,460,264,423
2008,HND,Both,15 - 24,1224,1458,883,1377
2008,HND,Both,25 - 34,1772,1602,1158,1797
2008,HND,Both,35 - 44,730,624,518,817
2008,HND,Both,45 - 54,299,239,214,344
2008,HND,Both,55 - 64,68,78,60,100
2008,HND,Both,65+,23,24,20,33
2008,HND,Both,All,4551,4475,3604,5462
2008,HND,Both,0 - 14,434,594,473,748
2008,HND,Females,0 - 14,223,302,232,373
2008,HND,Females,25 - 34,1282,1179,882,1376
2008,HND,Females,35 - 44,512,408,375,595
2008,HND,Females,45 - 54,241,194,153,248
2008,HND,Females,55 - 64,55,67,46,77
2008,HND,Females,65+,19,20,16,28
2008,HND,Females,All,3172,3357,2697,4111
2008,HND,Males,0 - 14,211,261,184,297
2008,HND,Females,15 - 24,838,1109,608,956
2008,CUB,Males,25 - 34,1081,1092,757,1184
2008,DEU,Males,All,5549,5689,4595,6930
2008,DEU,Males,55 - 64,745,737,631,991
2008,DEU,Both,45 - 54,1474,1449,1329,2056
2008,DEU,Both,55 - 64,1461,1475,1382,2136
2008,DEU,Both,65+,1584,1582,1435,2216
2008,DEU,Both,All,11282,10865,8983,13373
2008,DEU,Females,0 - 14,583,637,360,572
2008,DEU,Females,15 - 24,939,997,612,962
2008,DEU,Females,25 - 34,1336,1296,993,1546
2008,DEU,Males,65+,870,793,615,966
2008,DEU,Females,35 - 44,792,771,667,1046
2008,DEU,Females,55 - 64,718,711,651,1021
2008,DEU,Females,65+,713,823,659,1034
2008,DEU,Females,All,5733,5856,4435,6693
2008,DEU,Males,0 - 14,506,613,400,635
2008,DEU,Males,15 - 24,452,724,648,1017
2008,DEU,Males,25 - 34,1119,1124,990,1540
2008,DEU,Males,35 - 44,1034,903,735,1151
2008,DEU,Females,45 - 54,653,715,623,978
2008,HND,Males,25 - 34,490,365,292,467
2008,HND,Males,35 - 44,217,147,121,197
2008,HND,Males,45 - 54,58,45,39,65
2008,ITA,Males,25 - 34,3822,2983,3222,4893
2008,ITA,Males,35 - 44,1458,1235,1190,1845
2008,ITA,Males,45 - 54,660,614,592,932
2008,ITA,Males,55 - 64,394,362,300,479
2008,ITA,Males,65+,256,277,210,339
2008,ITA,Males,All,9111,7657,7721,11528
2008,MAR,Both,0 - 14,12484,12027,11334,16799
2008,ITA,Males,15 - 24,1751,1510,1270,1965
2008,MAR,Both,15 - 24,20927,19194,16201,23852
2008,MAR,Both,35 - 44,9751,9478,8030,11979
2008,MAR,Both,45 - 54,2840,3185,2734,4167
2008,MAR,Both,55 - 64,945,1168,998,1552
2008,MAR,Both,65+,661,868,554,872
2008,MAR,Both,All,71761,61835,62026,89143
2008,MAR,Females,0 - 14,5677,5870,4666,7035
2008,MAR,Females,15 - 24,9399,8601,7870,11745
2008,MAR,Both,25 - 34,24154,23786,19501,28612
2008,ITA,Males,0 - 14,770,833,712,1116
2008,ITA,Females,All,6771,6763,6186,9276
2008,ITA,Females,65+,275,346,217,349
2008,HND,Males,55 - 64,13,14,10,18
2008,HND,Males,65+,4,5,4,6
2008,HND,Males,All,1379,1228,1121,1740
2008,ITA,Both,0 - 14,1468,1632,1106,1718
2008,ITA,Both,15 - 24,3178,3069,2324,3553
2008,ITA,Both,25 - 34,6492,6151,5916,8878
2008,ITA,Both,35 - 44,2269,2003,2088,3199
2008,ITA,Both,45 - 54,1158,1210,1062,1650
2008,ITA,Both,55 - 64,785,758,589,926
2008,ITA,Both,65+,531,580,447,708
2008,ITA,Both,All,15882,15064,14244,21021
2008,ITA,Females,0 - 14,697,754,483,764
2008,ITA,Females,15 - 24,1427,1506,1241,1922
2008,ITA,Females,25 - 34,2672,2812,2457,3753
2008,ITA,Females,35 - 44,812,822,853,1331
2008,ITA,Females,45 - 54,498,493,399,633
2008,ITA,Females,55 - 64,389,383,299,478
2008,DEU,Both,35 - 44,1826,1647,1510,2329
2008,DEU,Both,25 - 34,2455,2470,2014,3088
2008,DEU,Males,45 - 54,823,801,733,1148
2008,DEU,Both,0 - 14,1090,1231,797,1246
2008,DOM,Males,0 - 14,1567,1525,1311,2028
2008,DOM,Males,15 - 24,1669,2020,1324,2047
2008,DOM,Males,25 - 34,1974,1926,1548,2386
2008,DOM,Males,35 - 44,1308,1003,780,1220
2008,DOM,Males,45 - 54,422,344,282,452
2008,DOM,Males,55 - 64,89,84,73,121
2008,DOM,Males,65+,25,28,23,38
2008,DEU,Both,15 - 24,1392,1678,1278,1978
2008,DOM,Males,All,7056,6557,5481,8238
2008,ECU,Both,15 - 24,10061,6826,5539,8323
2008,ECU,Both,25 - 34,6393,6351,5486,8245
2008,ECU,Both,35 - 44,3553,3215,2446,3736
2008,ECU,Both,45 - 54,1561,1228,1147,1779
2008,ECU,Both,55 - 64,479,443,331,528
2008,ECU,Both,65+,143,167,171,276
2008,ECU,Both,All,32464,21680,19039,27948
2008,ECU,Both,0 - 14,10274,4258,4229,6388
2008,DOM,Females,65+,78,62,41,68
2008,DOM,Females,55 - 64,135,160,111,181
2008,DOM,Females,45 - 54,547,462,402,638
2008,CUB,Males,35 - 44,1071,849,600,944
2008,CUB,Males,45 - 54,444,481,379,603
2008,CUB,Males,55 - 64,250,224,152,246
2008,CUB,Males,65+,146,170,87,143
2008,CUB,Males,All,4094,4180,3183,4835
2008,DOM,Both,0 - 14,3189,3057,2604,3972
2008,DOM,Both,15 - 24,3883,4238,3414,5179
2008,DOM,Both,25 - 34,4873,4692,3832,5799
2008,DOM,Both,35 - 44,2970,2345,1752,2694
