Year,Nationality code,Sex,Age group,Immigrant count,Unemployment %,Political and Violence Percentile,Probability of dying young,Rule of Law Percentile,Salaried workers %,GDP_growth,Inflation_annual,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,RUS,Both,0 - 14,1222,6.21,20.19,9.5,15.87,94.14,5.2,18.01,0.139,Europe,Rest of Europe,0.65,0.5,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,RUS,Both,15 - 24,1026,6.21,20.19,9.5,15.87,94.14,5.2,18.01,0.139,Europe,Rest of Europe,0.65,0.5,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,RUS,Both,25 - 34,1349,6.21,20.19,9.5,15.87,94.14,5.2,18.01,0.139,Europe,Rest of Europe,0.65,0.5,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,RUS,Both,35 - 44,933,6.21,20.19,9.5,15.87,94.14,5.2,18.01,0.139,Europe,Rest of Europe,0.65,0.5,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,ROU,Males,45 - 54,2381,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Females,25 - 34,7024,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,15 - 24,10190,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,0 - 14,4844,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,PRT,Females,All,5193,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Males,0 - 14,849,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,15 - 24,1561,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,25 - 34,2860,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,35 - 44,1962,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,45 - 54,1125,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,55 - 64,305,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,65+,99,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,All,8761,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,ROU,Both,0 - 14,10051,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,15 - 24,19180,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,25 - 34,15689,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,35 - 44,9068,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,45 - 54,5027,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,55 - 64,1714,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,65+,532,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,All,61262,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,PRY,Males,65+,20,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,RUS,Both,45 - 54,759,6.21,20.19,9.5,15.87,94.14,5.2,18.01,0.139,Europe,Rest of Europe,0.65,0.5,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,PRY,Males,55 - 64,72,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,PRY,Males,35 - 44,787,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,NIC,Females,25 - 34,838,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,35 - 44,514,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,45 - 54,175,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,55 - 64,30,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,65+,5,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
