Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2009,UKR,Females,0 - 14,413,330,321,619
2009,UKR,Females,15 - 24,708,648,526,979
2009,UKR,Females,25 - 34,672,806,589,1087
2009,UKR,Females,35 - 44,473,492,344,659
2009,UKR,Females,45 - 54,380,381,270,527
2009,UKR,Females,55 - 64,195,238,137,281
2009,UKR,Males,0 - 14,462,415,270,527
2009,MAR,Females,45 - 54,963,1012,777,1407
2009,MAR,Females,25 - 34,6297,5659,3580,5895
2009,CHN,Females,0 - 14,1142,1100,737,1338
2009,CHN,Females,15 - 24,1733,1704,1144,2019
2009,CHN,Females,25 - 34,1642,1681,1002,1784
2009,CHN,Females,35 - 44,1013,863,581,1073
2009,CHN,Females,45 - 54,328,323,277,540
2009,CHN,Females,55 - 64,162,153,128,265
2009,CHN,Females,65+,87,81,68,149
2009,CHN,Males,0 - 14,1247,993,991,1765
2009,CHN,Males,15 - 24,1529,1478,1289,2258
2009,CHN,Males,25 - 34,1439,1376,1243,2182
2009,CHN,Males,35 - 44,1021,905,638,1171
2009,CHN,Males,45 - 54,329,385,308,596
2009,CHN,Males,55 - 64,103,119,100,211
2009,CHN,Males,65+,104,69,51,114
2009,BGR,Females,35 - 44,646,716,468,877
2009,BGR,Females,45 - 54,454,462,285,555
2009,BGR,Females,55 - 64,263,245,183,368
2009,BGR,Females,65+,125,129,76,165
2009,BGR,Males,0 - 14,521,590,446,840
2009,BGR,Males,15 - 24,999,780,571,1056
2009,BGR,Males,25 - 34,977,1004,723,1315
2009,BGR,Males,45 - 54,438,410,306,592
2009,BGR,Males,55 - 64,187,168,124,258
2009,BGR,Males,65+,55,61,35,82
2009,BGR,Males,35 - 44,682,715,639,1172
2009,CUB,Females,15 - 24,588,673,436,822
2009,CUB,Females,25 - 34,785,822,557,1031
2009,CUB,Females,35 - 44,604,717,470,882
2009,CUB,Females,45 - 54,373,508,353,676
2009,CUB,Females,55 - 64,308,290,223,442
2009,CUB,Females,65+,192,234,157,320
2009,CUB,Females,0 - 14,346,380,278,542
2009,COL,Males,65+,92,86,77,167
2009,COL,Males,55 - 64,163,141,137,283
2009,COL,Males,45 - 54,553,554,371,707
2009,COL,Females,0 - 14,2336,1993,1669,2875
2009,COL,Females,15 - 24,2580,2943,2257,3817
2009,COL,Females,25 - 34,3334,3586,2934,4886
2009,COL,Females,35 - 44,1647,2018,1494,2592
2009,COL,Females,45 - 54,834,991,833,1502
2009,COL,Females,55 - 64,369,453,366,699
2009,COL,Females,65+,260,270,190,381
