Year,Nationality code,Sex,Age group,Immigrant count
2008,ITA,Males,35 - 44,1458
2008,ITA,Males,45 - 54,660
2008,ITA,Males,55 - 64,394
2008,ITA,Males,65+,256
2008,ITA,Males,All,9111
2008,MAR,Both,0 - 14,12484
2008,ITA,Males,15 - 24,1751
2008,MAR,Both,15 - 24,20927
2008,MAR,Both,35 - 44,9751
2008,MAR,Both,45 - 54,2840
2008,MAR,Both,55 - 64,945
2008,MAR,Both,65+,661
2008,MAR,Both,All,71761
2008,MAR,Females,0 - 14,5677
2008,MAR,Females,15 - 24,9399
2008,MAR,Both,25 - 34,24154
2008,ITA,Males,0 - 14,770
2008,ITA,Females,All,6771
2008,ITA,Females,65+,275
2008,HND,Males,55 - 64,13
2008,HND,Males,65+,4
2008,HND,Males,All,1379
2008,ITA,Both,0 - 14,1468
2008,ITA,Both,15 - 24,3178
2008,ITA,Both,25 - 34,6492
2008,ITA,Both,35 - 44,2269
2008,ITA,Both,45 - 54,1158
2008,ITA,Both,55 - 64,785
2008,ITA,Both,65+,531
2008,ITA,Both,All,15882
2008,ITA,Females,0 - 14,697
2008,ITA,Females,15 - 24,1427
2008,ITA,Females,25 - 34,2672
2008,ITA,Females,35 - 44,812
2008,ITA,Females,45 - 54,498
2008,ITA,Females,55 - 64,389
2008,DEU,Both,35 - 44,1826
2008,DEU,Both,25 - 34,2455
2008,DEU,Males,45 - 54,823
2008,DEU,Both,0 - 14,1090
2008,DOM,Males,0 - 14,1567
2008,DOM,Males,15 - 24,1669
2008,DOM,Males,25 - 34,1974
2008,DOM,Males,35 - 44,1308
2008,DOM,Males,45 - 54,422
2008,DOM,Males,55 - 64,89
2008,DOM,Males,65+,25
2008,DEU,Both,15 - 24,1392
2008,DOM,Males,All,7056
2008,ECU,Both,15 - 24,10061
2008,ECU,Both,25 - 34,6393
2008,ECU,Both,35 - 44,3553
2008,ECU,Both,45 - 54,1561
2008,ECU,Both,55 - 64,479
2008,ECU,Both,65+,143
2008,ECU,Both,All,32464
2008,ECU,Both,0 - 14,10274
2008,DOM,Females,65+,78
2008,DOM,Females,55 - 64,135
2008,DOM,Females,45 - 54,547
2008,CUB,Males,35 - 44,1071
2008,CUB,Males,45 - 54,444
2008,CUB,Males,55 - 64,250
2008,CUB,Males,65+,146
2008,CUB,Males,All,4094
2008,DOM,Both,0 - 14,3189
2008,DOM,Both,15 - 24,3883
2008,DOM,Both,25 - 34,4873
2008,DOM,Both,35 - 44,2970
2008,DOM,Both,45 - 54,970
2008,DOM,Both,55 - 64,224
2008,DOM,Both,65+,103
2008,DOM,Both,All,16211
2008,DOM,Females,0 - 14,1620
2008,DOM,Females,15 - 24,2213
2008,DOM,Females,25 - 34,2899
2008,DOM,Females,35 - 44,1662
2008,ECU,Females,0 - 14,5017
2008,ECU,Females,15 - 24,4594
2008,DOM,Females,All,9156
2008,ECU,Females,35 - 44,1754
2008,FRA,Females,0 - 14,524
2008,FRA,Females,15 - 24,1115
2008,FRA,Females,25 - 34,1275
2008,FRA,Females,35 - 44,485
2008,FRA,Females,45 - 54,281
2008,FRA,Females,55 - 64,346
2008,FRA,Females,65+,263
2008,FRA,Both,All,8898
2008,FRA,Females,All,4292
2008,FRA,Males,15 - 24,784
2008,FRA,Males,25 - 34,1408
2008,FRA,Males,35 - 44,772
2008,FRA,Males,45 - 54,391
2008,FRA,Males,55 - 64,372
2008,FRA,Males,65+,288
2008,ECU,Females,25 - 34,3051
2008,FRA,Males,0 - 14,588
2008,FRA,Both,65+,551
2008,FRA,Males,All,4606
2008,FRA,Both,45 - 54,673
2008,FRA,Both,55 - 64,720
2008,ECU,Females,55 - 64,287
2008,ECU,Females,65+,89
2008,ECU,Females,All,15631
2008,ECU,Males,0 - 14,5258
2008,ECU,Males,15 - 24,5467
2008,ECU,Males,25 - 34,3342
2008,ECU,Males,35 - 44,1800
2008,ECU,Females,45 - 54,839
2008,ECU,Males,55 - 64,191
2008,ECU,Males,65+,54
2008,ECU,Males,All,16833
2008,FRA,Both,0 - 14,1114
2008,FRA,Both,15 - 24,1900
2008,FRA,Both,25 - 34,2684
2008,FRA,Both,35 - 44,1257
2008,ECU,Males,45 - 54,723
2009,PER,Males,35 - 44,963
2009,PER,Males,45 - 54,360
2009,PER,Males,55 - 64,128
2009,PER,Males,65+,169
2009,PER,Males,All,5858
2009,PRT,Both,0 - 14,843
2009,PRT,Females,25 - 34,844
2009,PRT,Both,15 - 24,1455
2009,PRT,Both,55 - 64,369
2009,PRT,Both,35 - 44,1620
2009,PRT,Both,45 - 54,972
2009,PRT,Both,65+,247
2009,PRT,Both,All,7885
2009,PRT,Females,0 - 14,409
2009,PRT,Females,15 - 24,715
2009,PER,Males,25 - 34,1666
2009,PRT,Both,25 - 34,2378
2009,PER,Males,15 - 24,1132
2009,PER,Females,0 - 14,1389
2009,PER,Females,All,7806
2009,PRT,Females,35 - 44,425
2009,PRY,Males,All,3040
2009,PER,Both,0 - 14,2831
2009,PER,Both,15 - 24,2608
2009,PER,Both,25 - 34,4161
2009,PER,Both,35 - 44,2297
2009,PER,Both,45 - 54,954
2009,PER,Males,0 - 14,1441
2009,PER,Both,55 - 64,401
2009,PER,Both,All,13664
2009,PER,Females,15 - 24,1477
2009,PER,Females,25 - 34,2496
2009,PER,Females,35 - 44,1334
2009,PER,Females,45 - 54,594
2009,PER,Females,55 - 64,272
2009,PER,Females,65+,243
2009,PER,Both,65+,412
2009,PRT,Females,45 - 54,281
2009,MAR,Females,55 - 64,505
2009,PRT,Females,65+,134
2009,ROU,Females,45 - 54,2267
2009,ROU,Females,55 - 64,1139
2009,ROU,Females,65+,375
2009,ROU,Females,All,23822
2009,ROU,Males,0 - 14,3185
2009,ROU,Males,15 - 24,6466
2009,ROU,Males,25 - 34,5300
2009,ROU,Females,35 - 44,3471
2009,ROU,Males,35 - 44,2985
2009,ROU,Males,55 - 64,629
2009,ROU,Males,65+,174
2009,ROU,Males,All,20256
