Nationality code,Year,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths
GBR,2021,0,0,0,0
GBR,2022,0,0,0,0
USA,2008,0,0,0,0
USA,2009,0,0,0,0
USA,2010,0,2,0,0
USA,2011,0,0,0,0
USA,2012,0,0,0,0
USA,2013,0,0,0,0
USA,2014,0,7,0,0
USA,2015,14,0,0,0
USA,2016,0,0,0,0
USA,2017,8,0,0,0
USA,2018,0,0,0,0
USA,2019,0,8,0,0
USA,2020,0,0,0,0
USA,2021,0,2,0,0
USA,2022,0,1,0,0
VEN,2008,27,0,10,0
VEN,2009,26,0,10,0
VEN,2010,0,0,13,0
VEN,2011,0,0,4,0
VEN,2012,0,25,0,0
VEN,2013,0,0,0,0
VEN,2014,44,0,0,0
VEN,2015,32,0,4,0
VEN,2016,60,0,1,0
VEN,2017,76,0,0,0
VEN,2018,89,0,2,0
VEN,2019,78,0,7,0
VEN,2020,0,0,0,0
VEN,2021,0,0,3,0
VEN,2022,0,2,0,0
