Year,Nationality code,Unemployment %,Political and Violence Percentile,Probability of dying young,Regulatory Quality Percentile,Rule of Law Percentile,Voice and Accountability Percentile,Salaried workers %,GDP_growth,Inflation_annual
2016,PRY,5.25,50.95,6.8,44.29,26.19,44.33,55.77,4.27,4.13
2016,PER,3.74,38.1,4.4,67.62,33.81,55.17,47.38,3.95,3.08
2016,PRT,11.07,79.52,1.7,76.19,82.86,86.21,82.25,2.02,1.72
2016,ROU,5.9,55.24,2.8,69.05,67.14,65.52,73.39,2.86,2.62
2016,RUS,5.56,15.24,5.7,36.19,19.05,17.73,92.52,0.19,2.84
2016,SEN,4.46,37.62,6.1,45.71,51.43,57.64,27.69,6.36,0.96
2016,ESP,19.64,60.0,1.3,81.43,80.48,82.27,83.06,3.04,0.32
2016,UKR,9.35,6.67,4.3,38.57,20.0,47.78,84.36,2.44,17.1
2016,GBR,4.81,58.1,1.8,95.24,92.38,93.1,84.55,1.92,1.96
2016,USA,4.87,59.05,4.5,91.9,91.43,84.24,93.61,1.67,1.0
2016,VEN,5.32,13.81,15.6,2.38,0.48,17.24,64.82,-17.0,321.31
2017,DZA,12.0,15.71,3.4,9.05,18.1,23.15,69.32,1.3,6.39
2017,ARG,8.35,53.33,4.8,43.81,45.71,64.53,74.93,2.82,26.01
2017,BRA,12.79,29.52,8.0,47.62,42.86,61.08,68.56,1.32,3.67
2017,BGR,6.16,59.05,3.1,73.33,50.95,60.1,88.32,2.75,4.81
2017,CHN,4.47,38.57,2.6,45.24,45.24,7.88,52.25,6.95,4.23
2017,COL,9.09,18.1,6.8,63.81,39.52,49.26,48.4,1.36,5.13
2017,CUB,1.7,68.1,2.7,8.1,34.76,7.39,74.88,1.81,4.11
2017,DOM,5.83,52.86,8.5,52.38,37.62,52.71,56.76,4.67,4.18
2017,ECU,3.84,41.9,5.3,13.33,25.71,40.89,50.68,2.37,1.95
2017,FRA,9.41,56.19,1.9,83.33,88.57,85.71,88.27,2.29,0.52
2017,DEU,3.75,65.24,1.5,95.24,91.43,95.57,89.84,2.68,1.5
2017,HND,5.53,27.14,6.5,33.81,13.81,32.51,49.88,4.84,4.51
2017,ITA,11.21,57.62,1.5,74.76,62.38,78.82,76.57,1.67,0.73
2017,MAR,9.69,30.95,3.2,46.67,44.29,28.57,49.33,5.06,-0.06
2017,NIC,3.3,44.29,6.3,27.14,28.57,26.6,55.8,4.63,4.12
2017,PAK,3.19,1.9,6.1,29.05,23.81,28.08,49.4,4.43,4.03
2017,PRY,6.14,46.19,6.7,43.33,28.1,44.33,56.37,4.81,2.16
2017,PER,3.69,36.19,4.4,66.19,31.9,55.17,47.02,2.52,3.62
2017,PRT,8.87,88.57,1.7,79.05,83.33,88.67,82.8,3.51,1.51
2017,ROU,4.93,48.57,2.7,68.57,67.14,67.49,74.05,8.2,4.65
2017,RUS,5.21,24.29,5.2,30.95,20.95,18.72,92.86,1.83,5.35
2017,SEN,4.08,43.81,5.8,44.29,48.57,57.14,30.25,7.41,0.6
2017,ESP,17.22,57.14,1.3,79.52,81.9,82.27,83.54,2.98,1.3
2017,UKR,9.5,6.67,4.0,40.48,23.33,47.29,83.69,2.36,22.1
2017,GBR,4.33,60.48,1.9,94.29,92.86,93.6,84.71,2.66,1.86
2017,USA,4.36,55.71,4.6,92.86,91.9,80.79,93.66,2.24,1.9
2017,VEN,5.05,10.95,15.8,2.38,0.48,14.29,64.13,-15.7,748.06
2018,DZA,12.14,17.92,3.3,8.1,21.9,21.36,69.47,1.2,6.76
