País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
Total;Dinamarca;De 0 a 15 años;Mujer;2021;63
Total;Dinamarca;De 16 a 24 años;Ambos Sexos;2022;151
Total;Dinamarca;De 16 a 24 años;Ambos Sexos;2021;155
Total;Dinamarca;De 16 a 24 años;Hombre;2022;58
Total;Dinamarca;De 16 a 24 años;Hombre;2021;72
Total;Dinamarca;De 16 a 24 años;Mujer;2022;93
Total;Dinamarca;De 16 a 24 años;Mujer;2021;83
Total;Dinamarca;De 25 a 34 años;Ambos Sexos;2022;241
Total;Dinamarca;De 25 a 34 años;Ambos Sexos;2021;230
Total;Dinamarca;De 25 a 34 años;Hombre;2022;124
Total;Dinamarca;De 25 a 34 años;Hombre;2021;128
Total;Dinamarca;De 25 a 34 años;Mujer;2022;117
Total;Dinamarca;De 25 a 34 años;Mujer;2021;102
Total;Dinamarca;De 35 a 44 años;Ambos Sexos;2022;150
Total;Dinamarca;De 35 a 44 años;Ambos Sexos;2021;169
Total;Dinamarca;De 35 a 44 años;Hombre;2022;84
Total;Dinamarca;De 35 a 44 años;Hombre;2021;95
Total;Dinamarca;De 35 a 44 años;Mujer;2022;66
Total;Dinamarca;De 35 a 44 años;Mujer;2021;74
Total;Dinamarca;De 45 a 54 años;Ambos Sexos;2022;219
Total;Dinamarca;De 45 a 54 años;Ambos Sexos;2021;249
Total;Dinamarca;De 45 a 54 años;Hombre;2022;143
Total;Dinamarca;De 45 a 54 años;Hombre;2021;157
Total;Dinamarca;De 45 a 54 años;Mujer;2022;76
Total;Dinamarca;De 45 a 54 años;Mujer;2021;92
Total;Dinamarca;De 55 a 64 años;Ambos Sexos;2022;173
Total;Dinamarca;De 55 a 64 años;Ambos Sexos;2021;239
Total;Dinamarca;De 55 a 64 años;Hombre;2022;106
Total;Dinamarca;De 55 a 64 años;Hombre;2021;144
Total;Dinamarca;De 55 a 64 años;Mujer;2022;67
Total;Dinamarca;De 55 a 64 años;Mujer;2021;95
Total;Dinamarca;De 65 y más años;Ambos Sexos;2022;189
Total;Dinamarca;De 65 y más años;Ambos Sexos;2021;306
Total;Dinamarca;De 65 y más años;Hombre;2022;101
Total;Dinamarca;De 65 y más años;Hombre;2021;183
Total;Dinamarca;De 65 y más años;Mujer;2022;88
Total;Dinamarca;De 65 y más años;Mujer;2021;123
Total;Finlandia;Total;Ambos Sexos;2022;1.460
Total;Finlandia;Total;Ambos Sexos;2021;1.540
Total;Finlandia;Total;Hombre;2022;653
Total;Finlandia;Total;Hombre;2021;708
Total;Finlandia;Total;Mujer;2022;807
Total;Finlandia;Total;Mujer;2021;832
Total;Finlandia;De 0 a 15 años;Ambos Sexos;2022;210
Total;Finlandia;De 0 a 15 años;Ambos Sexos;2021;126
Total;Finlandia;De 0 a 15 años;Hombre;2022;111
Total;Finlandia;De 0 a 15 años;Hombre;2021;57
Total;Finlandia;De 0 a 15 años;Mujer;2022;99
Total;Finlandia;De 0 a 15 años;Mujer;2021;69
Total;Finlandia;De 16 a 24 años;Ambos Sexos;2022;140
Total;Finlandia;De 16 a 24 años;Ambos Sexos;2021;125
Total;Finlandia;De 16 a 24 años;Hombre;2022;38
Total;Finlandia;De 16 a 24 años;Hombre;2021;38
Total;Finlandia;De 16 a 24 años;Mujer;2022;102
Total;Finlandia;De 16 a 24 años;Mujer;2021;87
Total;Finlandia;De 25 a 34 años;Ambos Sexos;2022;267
Total;Finlandia;De 25 a 34 años;Ambos Sexos;2021;277
Total;Finlandia;De 25 a 34 años;Hombre;2022;84
Total;Finlandia;De 25 a 34 años;Hombre;2021;110
Total;Finlandia;De 25 a 34 años;Mujer;2022;183
Total;Finlandia;De 25 a 34 años;Mujer;2021;167
Total;Finlandia;De 35 a 44 años;Ambos Sexos;2022;225
Total;Finlandia;De 35 a 44 años;Ambos Sexos;2021;220
Total;Finlandia;De 35 a 44 años;Hombre;2022;95
Total;Finlandia;De 35 a 44 años;Hombre;2021;89
Total;Finlandia;De 35 a 44 años;Mujer;2022;130
Total;Finlandia;De 35 a 44 años;Mujer;2021;131
Total;Finlandia;De 45 a 54 años;Ambos Sexos;2022;195
Total;Finlandia;De 45 a 54 años;Ambos Sexos;2021;231
Total;Finlandia;De 45 a 54 años;Hombre;2022;101
Total;Finlandia;De 45 a 54 años;Hombre;2021;121
Total;Finlandia;De 45 a 54 años;Mujer;2022;94
Total;Finlandia;De 45 a 54 años;Mujer;2021;110
Total;Finlandia;De 55 a 64 años;Ambos Sexos;2022;157
Total;Finlandia;De 55 a 64 años;Ambos Sexos;2021;237
Total;Finlandia;De 55 a 64 años;Hombre;2022;77
Total;Finlandia;De 55 a 64 años;Hombre;2021;129
Total;Finlandia;De 55 a 64 años;Mujer;2022;80
Total;Finlandia;De 55 a 64 años;Mujer;2021;108
Total;Finlandia;De 65 y más años;Ambos Sexos;2022;266
Total;Finlandia;De 65 y más años;Ambos Sexos;2021;324
Total;Finlandia;De 65 y más años;Hombre;2022;147
Total;Finlandia;De 65 y más años;Hombre;2021;164
Total;Finlandia;De 65 y más años;Mujer;2022;119
Total;Finlandia;De 65 y más años;Mujer;2021;160
Total;Francia;Total;Ambos Sexos;2022;16.518
Total;Francia;Total;Ambos Sexos;2021;18.434
Total;Francia;Total;Hombre;2022;8.532
Total;Francia;Total;Hombre;2021;9.446
Total;Francia;Total;Mujer;2022;7.986
Total;Francia;Total;Mujer;2021;8.988
Total;Francia;De 0 a 15 años;Ambos Sexos;2022;2.165
Total;Francia;De 0 a 15 años;Ambos Sexos;2021;2.197
Total;Francia;De 0 a 15 años;Hombre;2022;1.123
Total;Francia;De 0 a 15 años;Hombre;2021;1.113
Total;Francia;De 0 a 15 años;Mujer;2022;1.042
Total;Francia;De 0 a 15 años;Mujer;2021;1.084
